Unnamed: 0,full_text,text_processed
665,@THEBLACKBIBLE_ @txtdrimedia Berdasarkan survei terbaru (CISA Litbang Kompas dll.) masyarakat puas dengan kinerja Prabowo dengan tingkat kepuasan di atas 50% hingga 87.5%. Fokus pada program sosial dan stabilitas politik jadi alasan utama meski ada kejutan di X soal sentimen ini. Data menunjukkan,dasar survei baru cisa litbang kompas dll masyarakat puas kerja prabowo tingkat puas fokus program sosial stabilitas politik alas utama kejut x sentimen data
666,@ailhamsyaah Anda ga puas dengan kinerja prabowo gibran? Ayo ketemuan kita ngopi dulu,ga puas kerja prabowo gibran ayo ketemu ngopi
667,@jomokwidodo Publik puas dengan kinerja Prabowo Gibran https://t.co/Af0PnqUbAq,publik puas kerja prabowo gibran
668,Makanya jangan hidunya di X terus .. sesekali turun dan injakan kakimu di bumi Kaget kan setelah tahu hasil survei bajwa publik puas dengan kinerja Prabowo Gibran https://t.co/Af0PnqUbAq,hidu x turun injak kaki bumi kaget hasil survei bajwa publik puas kerja prabowo gibran
669,@ailhamsyaah Saya adalah salah satu responden dalam survey tersebut. Dan ya saya sangat setuju dan puas dengan kinerja prabowo gibran,salah responden survey ya tuju puas kerja prabowo gibran
670,@asepsetiajaya @txtdrjkt Berdasarkan kinerja Prabowo sejak menjabat prediksi Indonesia bubar 2030 tampak kecil kemungkinannya. Ekonomi tumbuh stabilitas politik terjaga dan approval rating tinggi meski ada isu polisi berlebihan saat protes. Prediksi itu dari buku fiksi bukan fakta jadi stabilitas https://t.co/zbexTgj4sv,dasar kerja prabowo jabat prediksi indonesia bubar ekonomi tumbuh stabilitas politik jaga approval rating isu polisi protes prediksi buku fiksi fakta stabilitas
671,@txtdrjkt @grok hi @grok dilihat dari berbagai kasus dan kinerja pemerintahan dari awal menjabat kepemimpinan prabowo hingga sekarang apa benar prediksi prabowo bahwa 2030 indonesia bubar?,hi kerja perintah jabat pimpin prabowo prediksi prabowo indonesia bubar
672,Tuh kan... Pak gimana anda mau gain trust sama masyarakat kalo koruptor aja dilepasin. Efek jera mereka melakukan itu apa yang udah merugikan rakyat sampe triliunan bahkan kuadriliun? Demo itu terjadi krn ada gap realitas dan kinerja bapak dlm menindak koruptor @prabowo,tuh gimana gain trust masyarakat kalo koruptor aja dilepasin efek jera udah rugi rakyat sampe triliun kuadriliun demo krn gap realitas kerja dlm tindak koruptor
673,Survei Cigmark: Publik Puas Kinerja Pemerintahan Prabowo-Gibran Tapi Penegakkan Hukum dan Politik Perlu Diperbaiki https://t.co/5Cw4pZKxwp,survei cigmark publik puas kerja perintah prabowo gibran tegak hukum politik baik
674,@prabowo Pakbanyak yg demo pak move untuk perbaiki citra dan kinerja pemerintahan pusat gimana tuh pak,pakbanyak yg demo move baik citra kerja perintah pusat gimana tuh
675,@alexanderdrspan @alexanderdrspan pandangan politikmu tampaknya lebih sebagai pengamat moderat. Dari postinganmu kamu menganalisis kinerja partai seperti PD dan PDIP serta perilaku pemilih terhadap Jokowi dan Prabowo tanpa dukungan partisan jelas. Fokusmu pada data dan tren plus minat pada,pandang politik amat moderat postinganmu analis kerja pa ai sepe i pd pdip a perilaku pilih jokowi prabowo dukung pa isan fokus data tren plus minat
676,@SsPasadena @prabowo Bu MenPar...Ibu kan super kaya tuh pasti gampang dong keluar duit untuk rekrut trainer public speaking body language manner dll yg bisa mendukung kinerja Anda sebagai mentri. Prioritaskanlah duitnya untuk upgrade kemampuan pribadi anda biar kami sbg rakyat ga terus2an...,bu menpar super kaya tuh gampang duit rekrut trainer public speaking body language manner dll yg dukung kerja tri prioritas duit upgrade mampu pribadi biar sbg rakyat ga an
677,@zeracnovic @bisma1365143 @tekarok007 lah jadi lu malah setuju tekarok salah soal kinerja prabowo? setuju sentimen negatif jadi katalis? nais. nah balik ke akar masalah yg dari tadi lu belokin sentimen negatifnya tuh gegara apa? lu muter-muter cuma buat ngakuin poin gua di akhir?,lu tuju tekarok salah kerja prabowo tuju sentimen negatif katalis nais akar yg lu belokin sentimen negatif tuh gegara lu muter muter ngakuin poin gua
678,@postorangtolol @bisma1365143 @tekarok007 Ya kalo itu jelas salah gada hubungan kinerja prabowo dan kenaikan saham emang lagi rebound saja cuma kamu juga salah hal yg benar malah dibilang tolol case closed lah,ya kalo salah gada hubung kerja prabowo naik saham emang rebound salah yg bilang tolol case closed
679,@MypurpleUniv Kinerja pemerintah Prabowo campur aduk: ekonomi stabil dengan proyeksi pertumbuhan 5 2% di 2025 tapi isu HAM membayangi. Anggaran defisit 2 53% PDB belanja $226M subsidi turun ke $19M. Namun pelanggaran HAM di Papua Barat UU militer baru dan protes publik Maret 2025,kerja perintah prabowo campur aduk ekonomi stabil proyeksi pe umbuhan isu ham bayang anggar defisit pdb belanja m subsidi turun m langgar ham papua barat uu militer protes publik maret
680,@BANGSAygSUJUD @prabowo @KejaksaanRI @adri_zizie @99propaganda @are_inismyname @bitCarli77 @florieliciouss @Kimberley_PS08 @Lembayung071 @IrawanRommi @gtobing2903 @Ndons_Back Indikator awal bolehlah.....Menganga dgn besarnya korupsi yg diusut bolehlah. Tapi kinerja sesungguhnya adalah jk berhasil kembalikan kerugian negara hasil korupsi ke kas negara.,indikator nganga dgn besar korupsi yg usut kerja sungguh jk hasil kembali rugi negara hasil korupsi kas negara
